protein,replicate,selection,stat,pval,pass
2qia_A,1,ca,0.455155367231638,4.27433821784000e-12,TRUE
2qia_A,2,all,0.668667608286252,1.29997396270179e-25,TRUE
2qia_A,2,bb,0.683262711864407,1.00556521980535e-26,TRUE
2qia_A,2,ca,0.674670433145009,4.56752491568675e-26,TRUE
2qia_A,3,all,0.282838983050847,6.23109697725343e-05,TRUE
2qia_A,3,bb,0.243761770244821,0.000899033173471461,TRUE
2qia_A,3,ca,0.291666666666667,3.2275440774724e-05,TRUE
2d5b_A,1,all,0.184832572671803,0.000471050253680119,TRUE
2d5b_A,1,bb,0.197673847965844,0.000141725859286449,TRUE
2d5b_A,1,ca,0.13682092555332,0.0205615019017306,TRUE
2d5b_A,2,all,0.319821367227757,2.74635066865494e-11,TRUE
2d5b_A,2,bb,0.301778148566194,4.26390314280625e-10,TRUE
2d5b_A,2,ca,0.267736500302629,4.88248700734845e-08,TRUE
2d5b_A,3,all,0.136362892803978,0.0212003347322172,TRUE
2d5b_A,3,bb,0.184587197984656,0.000481607742398787,TRUE
2d5b_A,3,ca,0.158773780896763,0.00420666082889461,TRUE
2rij_A,1,all,0.59104797641383,1.11630837419494e-29,TRUE
2rij_A,1,bb,0.445108549986599,5.13442956956044e-17,TRUE
2rij_A,1,ca,0.5140712945591,1.48368466749569e-22,TRUE
2rij_A,2,all,0.453604931653712,1.17781117012619e-17,TRUE
2rij_A,2,bb,0.50418118466899,1.03430255385327e-21,TRUE
2rij_A,2,ca,0.405387295631198,3.46283850588412e-14,TRUE
2rij_A,3,all,0.124390243902439,0.101223954332709,FALSE
2rij_A,3,bb,0.204958456177968,0.000607180831169104,TRUE
2rij_A,3,ca,0.199356740820156,0.000939670102360151,TRUE
2d1l_A,1,all,0.125337337418582,0.0611571718333644,FALSE
2d1l_A,1,bb,0.137938031369843,0.0292831749372162,TRUE
2d1l_A,1,ca,0.119879065803624,0.0823137025454586,FALSE
2d1l_A,2,all,0.0363614228029948,0.998538136321175,FALSE
2d1l_A,2,bb,0.113162753890794,0.11649784826189,FALSE
2d1l_A,2,ca,0.0999127488180508,0.217788101092141,FALSE
2d1l_A,3,all,0.062455613497555,0.779512022291576,FALSE
2d1l_A,3,bb,0.0787695554247916,0.496378823759669,FALSE
2d1l_A,3,ca,0.0706937483513586,0.635931080141235,FALSE
2wlt_A,1,all,0.331797235023041,1.29869076201221e-07,TRUE
2wlt_A,1,bb,0.357964335804448,8.61226754514794e-09,TRUE
2wlt_A,1,ca,0.359447004608295,7.33958798524786e-09,TRUE
2wlt_A,2,all,0.22328190743338,0.00111200286393387,TRUE
2wlt_A,2,bb,0.26940492887197,3.65162774681215e-05,TRUE
2wlt_A,2,ca,0.368022440392707,2.87329844162327e-09,TRUE
2wlt_A,3,all,0.137527549589261,0.116438626816742,FALSE
2wlt_A,3,bb,0.089160488879984,0.588619384478239,FALSE
2wlt_A,3,ca,0.266279302744941,4.69679365480893e-05,TRUE
2bjq_A,1,all,0.25389837343729,2.96257797352228e-05,TRUE
2bjq_A,1,bb,0.264518080387149,1.14611846911457e-05,TRUE
2bjq_A,1,ca,0.212864632343057,0.000806347860731161,TRUE
2bjq_A,2,all,0.109792982927813,0.249526100242162,FALSE
2bjq_A,2,bb,0.1732087646189,0.0113104335700703,TRUE
2bjq_A,2,ca,0.122664336604382,0.149154223149197,FALSE
2bjq_A,3,all,0.0794461621185643,0.647695686954815,FALSE
2bjq_A,3,bb,0.107474122865977,0.272059443694083,FALSE
2bjq_A,3,ca,0.102567549401801,0.324377784805453,FALSE
2cxi_B,1,all,0.192951747476516,0.00017108800071225,TRUE
2cxi_B,1,bb,0.124846840539121,0.0396288941777463,TRUE
2cxi_B,1,ca,0.0414843339751444,0.981954376240361,FALSE
2cxi_B,2,all,0.105432055545831,0.122011358517872,FALSE
2cxi_B,2,bb,0.0922165820642978,0.235060984916858,FALSE
2cxi_B,2,ca,0.0742166987572204,0.492454700643588,FALSE
2cxi_B,3,all,0.147353987980629,0.00848466342298908,TRUE
2cxi_B,3,bb,0.075237761829745,0.474724677506679,FALSE
2cxi_B,3,ca,0.0961112083552132,0.195588455061385,FALSE
1zjc_A,1,all,0.230861216511441,3.05567971077032e-05,TRUE
1zjc_A,1,bb,0.359043348281016,4.49258222559118e-12,TRUE
1zjc_A,1,ca,0.333379326204438,1.81229818710459e-10,TRUE
1zjc_A,2,all,0.537311716683914,1.63557547760781e-26,TRUE
1zjc_A,2,bb,0.693043578245372,7.94593190552342e-44,TRUE
1zjc_A,2,ca,0.570012648039554,8.74332757127959e-30,TRUE
1zjc_A,3,all,0.176589628607566,0.0030425994308467,TRUE
1zjc_A,3,bb,0.156513740370243,0.0122324949274012,TRUE
1zjc_A,3,ca,0.0883753018282166,0.390818245614575,FALSE
2x49_A,1,all,0.196292446292446,0.000196462051072043,TRUE
